system,workers,run_id,completion_rate_med,producer_call_p95_ms_med,queue_depth_med
awa,4,results/custom-20260501T112921Z-d6e325,174.5,18.3,2599.0
awa,16,results/custom-20260501T113135Z-74933e,669.4,19.9,4228.5
awa,64,results/custom-20260501T113350Z-30d24e,2517.2,15.3,4506.5
awa,128,results/custom-20260501T113604Z-320cb4,4430.6,25.8,3869.5
pgque,4,results/custom-20260501T113820Z-372777,3376.4,0.0,5438.0
pgque,16,results/custom-20260501T114022Z-f43ea3,9880.4,0.0,4505.5
pgque,64,results/custom-20260501T114225Z-fd92e1,18886.1,0.0,0.0
pgque,128,results/custom-20260501T114431Z-49953a,21789.5,0.1,1677.0
procrastinate,4,results/custom-20260501T114634Z-c656b0,266.7,,2339.0
procrastinate,16,results/custom-20260501T114837Z-5221a9,264.7,,2679.0
procrastinate,64,results/custom-20260501T115042Z-175c04,261.9,,2438.0
procrastinate,128,results/custom-20260501T115244Z-bd897b,265.6,,2893.0
pgboss,4,results/custom-20260501T115447Z-91a5c7,512.0,,2000.0
pgboss,16,results/custom-20260501T115654Z-74dd94,2048.0,,2000.0
pgboss,64,results/custom-20260501T115859Z-33f2c7,4540.8,,720.0
pgboss,128,results/custom-20260501T120104Z-c1ca61,4051.2,,1000.0
river,4,results/custom-20260501T120309Z-101db5,79.2,,11387.0
river,16,results/custom-20260501T120538Z-34fda8,316.8,,2995.0
river,64,results/custom-20260501T120743Z-21f60d,1267.0,,5362.0
river,128,results/custom-20260501T120950Z-b1b4ad,2508.8,,5679.0
oban,4,results/custom-20260501T121153Z-d1be3b,338.1,,2842.0
oban,16,results/custom-20260501T121423Z-d73c02,1143.9,,3404.0
oban,64,results/custom-20260501T121627Z-5d7952,54.5,,24397.0
oban,128,results/custom-20260501T121843Z-2e2f5f,76.2,,2361.0
