system,workers,run_id,completion_rate_med,enqueue_rate_med,queue_depth_med,claim_p95_ms_med,e2e_p95_ms_med
awa,4,results/custom-20260430T211647Z-a6b27f,76.3,0.0,24484.5,53755.9,53755.9
awa,16,results/custom-20260430T211911Z-24e99d,643.1,0.0,9012.0,33972.2,33972.2
awa,64,results/custom-20260430T212131Z-f961df,2433.8,1299.9,14002.0,10403.8,10403.8
awa,128,results/custom-20260430T212354Z-402b44,4318.6,4099.9,11152.0,6416.4,6418.4
pgque,4,results/custom-20260430T212620Z-27466c,200.6,203.8,0.0,131.7,132.9
pgque,16,results/custom-20260430T212833Z-b4236e,257.1,261.3,0.0,123.6,124.8
pgque,64,results/custom-20260430T213048Z-d8cef3,302.1,302.3,0.0,118.7,120.1
pgque,128,results/custom-20260430T213257Z-fb4d32,276.0,273.9,0.0,120.8,122.4
procrastinate,4,results/custom-20260430T213506Z-8113e3,150.2,153.0,106.0,629.8,
procrastinate,16,results/custom-20260430T213720Z-c5f9f7,196.2,199.0,62.0,520.7,
procrastinate,64,results/custom-20260430T213927Z-6c2a76,149.5,150.5,145.0,1082.2,
procrastinate,128,results/custom-20260430T214138Z-e30ce4,168.7,169.1,37.0,383.2,
pgboss,64,results/custom-20260430T214823Z-68da09,2406.4,2380.8,128.0,126.0,194.0
pgboss,128,results/custom-20260430T215107Z-4a5877,2636.8,2688.0,128.0,168.0,232.0
river,4,results/custom-20260430T215327Z-f321ea,76.8,143.0,1498.0,8705.0,
river,16,results/custom-20260430T215614Z-38cdba,150.2,177.8,4.0,56.0,
river,64,results/custom-20260430T215826Z-b94e14,283.2,307.2,5.0,47.0,
river,128,results/custom-20260430T220036Z-e86e10,297.8,313.2,5.0,46.0,
oban,4,results/custom-20260430T220239Z-048bf8,228.5,228.5,2.0,21.0,
oban,16,results/custom-20260430T220512Z-0e401b,252.9,252.9,2.0,17.0,
oban,64,results/custom-20260430T220715Z-cade4c,249.7,249.5,2.0,17.0,
oban,128,results/custom-20260430T220919Z-44e8ff,239.1,239.1,1.5,16.0,
pgboss,4,results/custom-20260430T235218Z-e9ff76,512.0,512.0,2000.0,3995.0,4059.0
pgboss,16,results/custom-20260430T235424Z-30bae8,2048.0,2048.0,1232.0,956.0,1022.0
