system,workers,run_id,completion_rate_med,producer_call_p95_ms_med,queue_depth_med
awa,4,results/custom-20260502T000120Z-de8e69,170.7,18.1,3142.0
awa,16,results/custom-20260502T000345Z-4eaadb,676.2,16.9,3588.0
awa,64,results/custom-20260502T000559Z-787159,2375.5,17.6,3911.5
awa,128,results/custom-20260502T000814Z-17b820,4575.8,38.6,3811.5
pgque,4,results/custom-20260502T001030Z-b46213,3356.9,0.0,5000.0
pgque,16,results/custom-20260502T001236Z-174847,9987.0,0.0,4112.0
pgque,64,results/custom-20260502T001441Z-2e5a94,19109.5,0.0,2016.0
pgque,128,results/custom-20260502T001646Z-cbae21,23295.3,0.0,1734.0
procrastinate,4,results/custom-20260502T001852Z-6f1fc9,260.7,,2602.0
procrastinate,16,results/custom-20260502T002056Z-384886,252.3,,2406.0
procrastinate,64,results/custom-20260502T002303Z-fd1013,267.5,,2415.0
procrastinate,128,results/custom-20260502T002515Z-1948b6,266.3,,2353.0
pgboss,4,results/custom-20260502T002719Z-cb67b8,512.0,,2000.0
pgboss,16,results/custom-20260502T002929Z-0335f8,2048.0,,1488.0
pgboss,64,results/custom-20260502T003140Z-0bb6fb,5787.2,,1296.0
pgboss,128,results/custom-20260502T003349Z-3703de,4256.0,,784.0
river,4,results/custom-20260502T003555Z-6025e1,79.2,,10863.0
river,16,results/custom-20260502T003759Z-bbda3b,316.8,,3239.0
river,64,results/custom-20260502T004005Z-638f4a,1267.2,,3849.0
river,128,results/custom-20260502T004210Z-17b8d1,2534.3,,7235.0
oban,4,results/custom-20260502T004420Z-95de85,331.8,,2772.0
oban,16,results/custom-20260502T004627Z-6bb327,1191.9,,3155.0
oban,64,results/custom-20260502T004833Z-efe09e,93.6,,21937.0
oban,128,results/custom-20260502T005050Z-c3013d,62.4,,2184.5
