phase,system,workers,run_id,completion_rate_med,producer_call_p95_ms_med,queue_depth_med
A,awa,4,results/custom-20260502T094042Z-40b42d,296.2,16.8,2534.0
A,awa,16,results/custom-20260502T094636Z-b7c25a,1114.9,21.7,2949.0
A,awa,64,results/custom-20260502T095205Z-979b42,3961.4,35.7,4654.0
A,awa,128,results/custom-20260502T095735Z-e82eb5,6834.1,48.4,5116.0
A,absurd,4,results/custom-20260502T100308Z-f77226,178.0,,2872.0
A,absurd,16,results/custom-20260502T100845Z-66a7a4,275.2,,2992.0
A,absurd,64,results/custom-20260502T101409Z-01e7ef,371.2,,3440.0
A,absurd,128,results/custom-20260502T101933Z-685812,387.5,,3216.0
A,pgque,4,results/custom-20260502T102458Z-bc0ab8,3381.8,0.0,5010.0
A,pgque,16,results/custom-20260502T103027Z-18c06f,9972.8,0.0,3658.0
A,pgque,64,results/custom-20260502T103549Z-d2d3b8,19024.7,0.0,2184.5
A,pgque,128,results/custom-20260502T104115Z-3f97d5,22103.6,0.0,1682.0
A,procrastinate,4,results/custom-20260502T104640Z-15056c,266.6,,2566.5
A,procrastinate,16,results/custom-20260502T105206Z-b12940,266.8,,2905.5
A,procrastinate,64,results/custom-20260502T105730Z-6f3afd,267.8,,2836.0
A,procrastinate,128,results/custom-20260502T110255Z-a52216,269.9,,2679.0
A,pgboss,4,results/custom-20260502T110821Z-15b0e6,512.0,,2000.0
A,pgboss,16,results/custom-20260502T111349Z-ade8b9,2048.0,,2000.0
A,pgboss,64,results/custom-20260502T111915Z-77498b,5301.6,,1000.0
A,pgboss,128,results/custom-20260502T112445Z-c16e63,5279.2,,1000.0
A,river,4,results/custom-20260502T113011Z-73f9a6,79.2,,3873.0
A,river,16,results/custom-20260502T113556Z-613cee,313.6,,5866.0
A,river,64,results/custom-20260502T114122Z-058ce8,1267.0,,4113.0
A,river,128,results/custom-20260502T114648Z-83e620,2521.6,,8539.5
A,oban,4,results/custom-20260502T115213Z-85f244,333.3,,2690.5
A,oban,16,results/custom-20260502T115759Z-45e675,1142.1,,3004.0
A,oban,64,results/custom-20260502T120325Z-638c92,163.3,,2534.0
A,oban,128,results/custom-20260502T120854Z-55e204,0.0,,3118.0
B,pgmq,4,results/custom-20260502T121416Z-0a0be7,3564.8,,2000.0
B,pgmq,16,results/custom-20260502T121943Z-aa4511,13290.4,,1904.0
B,pgmq,64,results/custom-20260502T122504Z-d04cce,6521.2,,1323.0
B,pgmq,128,results/custom-20260502T123051Z-3e0ce3,0.0,,1000.0
