chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,3799.039,4296.703,1689.0064680502694,1992.0156801514263,3801.087,4296.703,1535.5359357038874,3434.781437437268,,,clean,clean,0.248,0.499,4928.0,7608.0,0,custom-20260507T043527Z-e49a66,perf_w16_awa,3799.039,4296.703,awa
,114.54400000000001,118.941,457.0178879476631,585.5689463369621,116.3875,120.08000000000001,460.5298267037456,565.6685573365555,,,clean,clean,4.047645954415202,4.06970689073205,0.0,53.0,0,custom-20260507T043527Z-e49a66,perf_w16_awa,114.54400000000001,118.941,pgque
,1232.895,1295.359,5041.628374010109,6704.816723782349,1234.943,1298.431,5119.972756624962,7679.994566403845,,,clean,clean,0.222,0.41,4127.0,5696.0,0,custom-20260507T044304Z-54292c,perf_w64_awa,1232.895,1295.359,awa
,147.5255,180.648,480.5053428365742,526.4854277337927,148.949,182.188,483.4204535060145,514.616372629146,,,clean,clean,4.118828917853534,4.890890093520284,0.0,54.0,0,custom-20260507T044304Z-54292c,perf_w64_awa,147.5255,180.648,pgque
,948.223,1252.351,8003.255928594779,10670.199078464439,949.247,1253.375,8191.3921864126805,11781.424391636972,,,clean,clean,0.321,0.424,3360.0,6048.0,0,custom-20260507T045048Z-c7244c,perf_w128_awa,948.223,1252.351,awa
,166.596,182.061,481.41360507509876,534.4340870666296,167.9945,183.885,485.98277632113025,516.0224844395669,,,clean,clean,4.146647872403264,5.027514882385731,0.0,54.0,0,custom-20260507T045048Z-c7244c,perf_w128_awa,166.596,182.061,pgque
,491.007,555.007,12400.96791126473,17470.960189597878,493.055,558.079,12538.656131335403,18052.876262407237,,,clean,clean,0.407,0.541,2304.0,4096.0,0,custom-20260507T045824Z-8367dd,perf_w256_awa,491.007,555.007,awa
,169.883,183.64,484.36898451878255,533.5807538041025,170.93,185.582,485.055183967131,511.16139440056884,,,clean,clean,4.130844958126545,5.131684942170978,0.0,55.0,0,custom-20260507T045824Z-8367dd,perf_w256_awa,169.883,183.64,pgque
,1289.4609999999998,1684.366,10907.595508178263,11766.47834301462,1290.5729999999999,1685.469,10214.310635082951,16431.834809006345,,,clean,clean,0.03768388298340142,0.14783375291153789,9000.0,18000.0,0,custom-20260507T073738Z-fff83b,perf_w16_pgque_bulk,1289.4609999999998,1684.366,pgque
,408.193,802.629,22257.53251851016,25751.66149819916,409.523,803.909,21898.040639341285,27858.978434632972,,,clean,clean,0.0393224589060992,0.3957213929388672,7500.0,14000.0,0,custom-20260507T074131Z-a4af6c,perf_w64_pgque_bulk,408.193,802.629,pgque
