chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,7983.103,16064.511,186.47591747439978,948.7512639836189,7987.199,16064.511,0.0,0.0,,,clean,clean,,,19479.0,30115.0,0,custom-20260507T130626Z-1016ea,perf_w16_awa,7983.103,16064.511,awa
,1956.863,2553.855,642.5470832800744,3301.8353990252253,1958.911,2557.951,504.5965717102802,2362.097635503808,,,clean,clean,1.798,3.419,4159.0,4895.0,0,custom-20260507T131026Z-ac784f,perf_w64_awa,1956.863,2553.855,awa
,2201.599,2891.775,1282.763597572458,7208.344973728823,2203.647,2893.823,1343.9291876991356,4479.903652952088,,,clean,clean,0.914,1.815,4177.0,5455.0,0,custom-20260507T131429Z-ddf023,perf_w128_awa,2201.599,2891.775,awa
,158.079,184.063,4048.9034899196295,6300.835374564482,159.103,186.111,2879.9425206672013,4480.725359984538,,,clean,clean,0.91,1.253,37.0,186.0,0,custom-20260507T131830Z-62ea4e,perf_w256_awa,158.079,184.063,awa
,1191.149,1588.33,9976.643874376472,11038.351840027768,1192.2630000000001,1589.4489999999998,14931.106845789313,21407.09086096998,,,clean,clean,0.02268474199809134,0.11085759685374796,10000.0,17000.0,0,custom-20260507T133805Z-ec2209,perf_w16_pgque,1191.149,1588.33,pgque
,721.5335,1315.184,19790.727109222287,22467.54442677353,722.9565,1316.49,20127.160319992698,27373.033563582158,,,clean,clean,0.031514620990492404,0.3949824708979577,6000.0,14000.0,0,custom-20260507T134202Z-b172f0,perf_w64_pgque,721.5335,1315.184,pgque
,475.282,1450.512,24680.618069235377,28233.69671599846,475.824,1452.337,24332.752066062585,30305.039815830107,,,clean,clean,0.02855274302419275,0.641060580033809,4672.5,14000.0,0,custom-20260507T134550Z-14bc5d,perf_w128_pgque,475.282,1450.512,pgque
,361.14099999999996,1546.5240000000001,28356.918461271882,32773.73449673017,363.9375,1548.36,27826.27342398652,34245.80792128876,,,clean,clean,0.03189716243650764,0.5129404328763485,4000.0,13000.0,0,custom-20260507T134940Z-4b3271,perf_w256_pgque,361.14099999999996,1546.5240000000001,pgque
,,,,,,,,,,True,?,,,,,,1,,chaos_postgres_restart,,,?
,99.039,668.159,278.748725041378,2308.1469551263463,101.055,670.207,489.4041948510502,699.8927113465994,,,baseline,clean,3.593,6.063,30.0,116.0,0,chaos_pg_backend_kill-20260507T135748Z-a619e4,chaos_pg_backend_kill,99.039,668.159,awa
