aged_completion_rate_median,aged_completion_rate_peak,cell_id,chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_label,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,retryable_failure_rate_median,retryable_failure_rate_peak,run_dir,subscriber_p99_ms_median,subscriber_p99_ms_peak,system,worker_count
0.0,0.0,perf_w4_shared,,14123.007,14999.551,426.7856255086473,455.7480282267036,14131.199,14999.551,451.1719673703106,619.6538440771965,,,A,clean,clean,0.665,1.491,4695.0,6072.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T122334Z-3bd3eb,14123.007,14999.551,awa,4
,,perf_w4_shared,,28691.0,33156.0,219.2,242.4,28692.0,33158.0,248.0,544.0,,,A,clean,clean,1.0024986695498228,1.0079412022605538,4860.0,6312.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T122334Z-3bd3eb,28691.0,33156.0,absurd,4
,,perf_w4_shared,,16.0,31.0,247.40103958416637,276.4341395162902,,,247.2763243293528,276.2342594443334,,,A,clean,clean,,,2.0,3.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T122334Z-3bd3eb,,,oban,4
,,perf_w4_shared,,8012.0,8196.0,512.0,512.0,8077.0,8260.0,512.0,512.0,,,A,clean,clean,0.109375,0.671875,4000.0,4000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T122334Z-3bd3eb,8012.0,8196.0,pgboss,4
,,perf_w4_shared,,801.511,1656.72,247.2573285665948,266.6087594537055,,,249.11415005629615,269.20689579021087,,,A,clean,clean,,,199.5,367.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T122334Z-3bd3eb,,,procrastinate,4
,,perf_w4_shared,,51433.5,51792.0,79.19989213774349,79.21165647051959,,,78.10138321077554,89.78521347072098,,,A,clean,clean,,,4033.0,4071.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T122334Z-3bd3eb,,,river,4
,,perf_w4_pgque,,6134.432500000001,7214.292,3439.140837931758,3460.9831902943974,6135.503,7215.361,3195.3350778981553,5992.536577207951,,,A,clean,clean,0.01887155300937593,0.027348152128979564,9000.0,21000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T124550Z-7237b6,6134.432500000001,7214.292,pgque,4
,,perf_w4_pgmq,,1157.0,1514.0,3571.2,3622.4,1225.0,1582.0,3584.0,3622.4,,,A,clean,clean,0.07819450729584787,0.10290929640177637,4000.0,4000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T124943Z-a2fb63,1157.0,1514.0,pgmq,4
0.0,0.0,perf_w16_shared,,4051.967,4468.735,1729.169623531424,1879.0273687852375,4054.0150000000003,4468.735,1698.0181092369314,2150.3243391178685,,,A,clean,clean,0.242,0.494,4959.0,6896.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T125327Z-a7a48b,4051.967,4468.735,awa,16
,,perf_w16_shared,,20514.0,22528.0,339.2,368.0,20515.0,22530.0,393.6,889.6,,,A,clean,clean,0.25271409685956314,0.30632474226877093,5208.0,7104.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T125327Z-a7a48b,20514.0,22528.0,absurd,16
