scenario	system	cell_id	run_dir	exit_code	started_at	ended_at
fanout_steady	pgoutput-raw	fanout_steady__pgoutput-raw	cdc-20260722T202941Z-e65a39	0	2026-07-22T20:29:41Z	2026-07-22T20:32:35Z
fanout_steady	debezium-server	fanout_steady__debezium-server	cdc-20260722T203235Z-6b6ffb	0	2026-07-22T20:32:35Z	2026-07-22T20:35:35Z
fanout_steady	supabase-etl	fanout_steady__supabase-etl	cdc-20260722T203536Z-97a132	0	2026-07-22T20:35:35Z	2026-07-22T20:38:29Z
fanout_steady	sequin	fanout_steady__sequin	cdc-20260722T203829Z-618864	0	2026-07-22T20:38:29Z	2026-07-22T20:41:50Z
fanout_steady	sequin-grouped	fanout_steady__sequin-grouped	cdc-20260722T204150Z-6024a0	0	2026-07-22T20:41:50Z	2026-07-22T20:44:53Z
fanout_steady	debezium-kafka	fanout_steady__debezium-kafka	cdc-20260722T204453Z-bed103	0	2026-07-22T20:44:53Z	2026-07-22T20:47:48Z
dead_consumer	pgoutput-raw	dead_consumer__pgoutput-raw	cdc-20260722T204749Z-0e5daf	0	2026-07-22T20:47:48Z	2026-07-22T20:52:13Z
dead_consumer	debezium-server	dead_consumer__debezium-server	cdc-20260722T205213Z-dd9476	0	2026-07-22T20:52:13Z	2026-07-22T20:56:43Z
dead_consumer	supabase-etl	dead_consumer__supabase-etl	cdc-20260722T205643Z-d85a3a	0	2026-07-22T20:56:43Z	2026-07-22T21:01:07Z
dead_consumer	sequin	dead_consumer__sequin	cdc-20260722T210107Z-b78d45	0	2026-07-22T21:01:07Z	2026-07-22T21:05:40Z
dead_consumer	sequin-grouped	dead_consumer__sequin-grouped	cdc-20260722T210540Z-d893c2	0	2026-07-22T21:05:40Z	2026-07-22T21:10:13Z
dead_consumer	debezium-kafka	dead_consumer__debezium-kafka	cdc-20260722T211013Z-74af45	0	2026-07-22T21:10:13Z	2026-07-22T21:14:40Z
