scenario	system	cell_id	run_dir	exit_code	started_at	ended_at
fanout_steady	pgoutput-raw	fanout_steady__pgoutput-raw	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T223337Z-5dc2f2	0	2026-07-19T22:33:37Z	2026-07-19T22:36:28Z
fanout_steady	supabase-etl	fanout_steady__supabase-etl	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T224053Z-0ec149	0	2026-07-19T22:40:53Z	2026-07-19T22:43:45Z
dead_consumer	pgoutput-raw	dead_consumer__pgoutput-raw	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T224946Z-4e9e97	0	2026-07-19T22:49:46Z	2026-07-19T22:54:08Z
dead_consumer	debezium-server	dead_consumer__debezium-server	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T225408Z-be3d84	0	2026-07-19T22:54:08Z	2026-07-19T22:58:36Z
dead_consumer	supabase-etl	dead_consumer__supabase-etl	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T225836Z-82df05	0	2026-07-19T22:58:36Z	2026-07-19T23:02:58Z
dead_consumer	sequin	dead_consumer__sequin	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T230258Z-c74c47	0	2026-07-19T23:02:58Z	2026-07-19T23:07:29Z
dead_consumer	sequin-grouped	dead_consumer__sequin-grouped	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T230729Z-21071f	0	2026-07-19T23:07:29Z	2026-07-19T23:12:00Z
fanout_steady	debezium-server	fanout_steady__debezium-server	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T231230Z-f4d0f1	0	2026-07-19T23:12:30Z	2026-07-19T23:15:27Z
fanout_steady	sequin	fanout_steady__sequin	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T231527Z-e9349f	0	2026-07-19T23:15:27Z	2026-07-19T23:18:28Z
fanout_steady	sequin-grouped	fanout_steady__sequin-grouped	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260719T231828Z-599136	0	2026-07-19T23:18:28Z	2026-07-19T23:21:29Z
fanout_steady	debezium-kafka	fanout_steady__debezium-kafka	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260720T010127Z-49c65f	0	2026-07-20T01:01:27Z	2026-07-20T01:04:22Z
dead_consumer	debezium-kafka	dead_consumer__debezium-kafka	/home/brian/dev/postgresql-job-queue-benchmarking/results/cdc-sweep-initial/cdc-20260720T010422Z-e269f5	0	2026-07-20T01:04:22Z	2026-07-20T01:08:46Z
