scenario	system	cell_id	run_dir	exit_code	started_at	ended_at
fanout_steady	pgoutput-raw	fanout_steady__pgoutput-raw	cdc-20260722T015352Z-ee5d62	0	2026-07-22T01:53:52Z	2026-07-22T02:13:56Z
fanout_steady	debezium-server	fanout_steady__debezium-server	cdc-20260722T021356Z-dfe217	0	2026-07-22T02:13:56Z	2026-07-22T02:35:38Z
fanout_steady	supabase-etl	fanout_steady__supabase-etl	cdc-20260722T023538Z-3e671c	0	2026-07-22T02:35:38Z	2026-07-22T02:55:41Z
fanout_steady	sequin	fanout_steady__sequin	cdc-20260722T025541Z-6dc360	0	2026-07-22T02:55:41Z	2026-07-22T03:16:10Z
fanout_steady	sequin-grouped	fanout_steady__sequin-grouped	cdc-20260722T031611Z-94f81d	0	2026-07-22T03:16:10Z	2026-07-22T03:36:23Z
fanout_steady	debezium-kafka	fanout_steady__debezium-kafka	cdc-20260722T033623Z-8e9f97	0	2026-07-22T03:36:23Z	2026-07-22T03:56:31Z
dead_consumer	pgoutput-raw	dead_consumer__pgoutput-raw	cdc-20260722T035631Z-757033	0	2026-07-22T03:56:31Z	2026-07-22T04:38:36Z
dead_consumer	debezium-server	dead_consumer__debezium-server	cdc-20260722T043836Z-84cbd2	0	2026-07-22T04:38:36Z	2026-07-22T05:20:45Z
dead_consumer	supabase-etl	dead_consumer__supabase-etl	cdc-20260722T052045Z-e1e668	0	2026-07-22T05:20:45Z	2026-07-22T06:02:49Z
dead_consumer	sequin	dead_consumer__sequin	cdc-20260722T060249Z-53c888	0	2026-07-22T06:02:49Z	2026-07-22T06:45:04Z
dead_consumer	sequin-grouped	dead_consumer__sequin-grouped	cdc-20260722T064504Z-536213	0	2026-07-22T06:45:04Z	2026-07-22T07:27:18Z
dead_consumer	debezium-kafka	dead_consumer__debezium-kafka	cdc-20260722T072718Z-21e20c	1	2026-07-22T07:27:18Z	2026-07-22T07:49:22Z
dead_consumer	debezium-kafka	dead_consumer__debezium-kafka	cdc-20260722T075022Z-46f163	0	2026-07-22T07:50:22Z	2026-07-22T08:32:28Z
